review_id,source,text,sentiment,emotion,clean_text,word_count,compound,pos_score,neg_score,neu_score,predicted_sentiment,predicted_emotion
11,Public-review-style practice data,"Fast, responsive, and better than I expected.",positive,excitement,fast responsive and better than i expected,7,0.0,0.0,-0.0,1.0,neutral,neutral
12,Public-review-style practice data,The new features are exciting and genuinely useful.,positive,excitement,the new features are exciting and genuinely useful,8,0.25,0.25,0.0,0.75,positive,excitement
13,Public-review-style practice data,Very disappointed. The product stopped working after a few days.,negative,sadness,very disappointed the product stopped working after a few days,10,-0.1,0.0,0.1,0.9,negative,sadness
14,Public-review-style practice data,The quality is poor and the item feels cheaply made.,negative,disappointment,the quality is poor and the item feels cheaply made,10,-0.2,0.0,0.2,0.8,negative,neutral
15,Public-review-style practice data,I regret buying this product. It did not meet my expectations.,negative,disappointment,i regret buying this product it did not meet my expectations,11,-0.09090909090909091,0.0,0.09090909090909091,0.9090909090909091,negative,sadness
16,Public-review-style practice data,The app crashes frequently and makes the product frustrating to use.,negative,anger,the app crashes frequently and makes the product frustrating to use,11,-0.09090909090909091,0.0,0.09090909090909091,0.9090909090909091,negative,anger
17,Public-review-style practice data,Customer support ignored my messages and I am extremely annoyed.,negative,anger,customer support ignored my messages and i am extremely annoyed,10,-0.2,0.0,0.2,0.8,negative,anger
18,Public-review-style practice data,The repeated errors are frustrating and waste a lot of time.,negative,anger,the repeated errors are frustrating and waste a lot of time,11,-0.18181818181818182,0.0,0.18181818181818182,0.8181818181818181,negative,anger
19,Public-review-style practice data,Delivery was late and the package arrived damaged.,negative,sadness,delivery was late and the package arrived damaged,8,-0.125,0.0,0.125,0.875,negative,neutral
20,Public-review-style practice data,The product looks nothing like the description. Very unhappy.,negative,sadness,the product looks nothing like the description very unhappy,9,-0.1111111111111111,0.0,0.1111111111111111,0.8888888888888888,negative,sadness
21,Public-review-style practice data,Battery life is terrible and I expected much better performance.,negative,disappointment,battery life is terrible and i expected much better performance,10,-0.1,0.0,0.1,0.9,negative,anger
22,Public-review-style practice data,This was a waste of money. I would not recommend it.,negative,anger,this was a waste of money i would not recommend it,11,-0.09090909090909091,0.0,0.09090909090909091,0.9090909090909091,negative,anger
23,Public-review-style practice data,The setup was confusing and the instructions were incomplete.,negative,confusion,the setup was confusing and the instructions were incomplete,9,-0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778,negative,confusion
24,Public-review-style practice data,I cannot figure out why the feature keeps failing.,negative,confusion,i cannot figure out why the feature keeps failing,9,-0.1111111111111111,0.0,0.1111111111111111,0.8888888888888888,negative,neutral
25,Public-review-style practice data,The product arrived yesterday and I have used it twice so far.,neutral,neutral,the product arrived yesterday and i have used it twice so far,12,0.0,0.0,-0.0,1.0,neutral,neutral
26,Public-review-style practice data,It has the features listed on the product page.,neutral,neutral,it has the features listed on the product page,9,0.0,0.0,-0.0,1.0,neutral,neutral
27,Public-review-style practice data,"The package contained the device, cable, and manual.",neutral,neutral,the package contained the device cable and manual,8,0.0,0.0,-0.0,1.0,neutral,neutral
28,Public-review-style practice data,The application includes a dashboard and notification settings.,neutral,neutral,the application includes a dashboard and notification settings,8,0.0,0.0,-0.0,1.0,neutral,neutral
29,Public-review-style practice data,I purchased this model in the standard version.,neutral,neutral,i purchased this model in the standard version,8,0.0,0.0,-0.0,1.0,neutral,neutral
30,Public-review-style practice data,The delivery took four days from the order date.,neutral,neutral,the delivery took four days from the order date,9,0.0,0.0,-0.0,1.0,neutral,neutral
31,Public-review-style practice data,The product is available in three sizes.,neutral,neutral,the product is available in three sizes,7,0.0,0.0,-0.0,1.0,neutral,neutral
32,Public-review-style practice data,The review is based on one week of regular use.,neutral,neutral,the review is based on one week of regular use,10,0.0,0.0,-0.0,1.0,neutral,neutral
33,Public-review-style practice data,The device connects through Bluetooth and charges by USB.,neutral,neutral,the device connects through bluetooth and charges by usb,9,0.0,0.0,-0.0,1.0,neutral,neutral
34,Public-review-style practice data,The seller provides a one-year warranty.,neutral,neutral,the seller provides a one year warranty,7,0.0,0.0,-0.0,1.0,neutral,neutral
35,Public-review-style practice data,The interface has several settings that can be adjusted.,neutral,neutral,the interface has several settings that can be adjusted,9,0.0,0.0,-0.0,1.0,neutral,neutral
36,Public-review-style practice data,The box arrived sealed and included the listed accessories.,neutral,neutral,the box arrived sealed and included the listed accessories,9,0.0,0.0,-0.0,1.0,neutral,neutral
37,Public-review-style practice data,"In my experience, absolutely loved this product. the quality is excellent and it works perfectly.",positive,joy,in my experience absolutely loved this product the quality is excellent and it works perfectly,15,0.13333333333333333,0.13333333333333333,0.0,0.8666666666666667,positive,joy
38,Public-review-style practice data,"In my experience, the delivery was quick and the product feels premium. very happy with it.",positive,joy,in my experience the delivery was quick and the product feels premium very happy with it,16,0.125,0.125,0.0,0.875,positive,joy
39,Public-review-style practice data,"In my experience, amazing value for the price. i would happily buy it again.",positive,satisfaction,in my experience amazing value for the price i would happily buy it again,14,0.07142857142857142,0.07142857142857142,0.0,0.9285714285714286,positive,joy
40,Public-review-style practice data,"In my experience, the performance is smooth and reliable. great purchase overall.",positive,satisfaction,in my experience the performance is smooth and reliable great purchase overall,12,0.25,0.25,0.0,0.75,positive,neutral
41,Public-review-style practice data,"In my experience, setup was simple and the instructions were clear. very convenient.",positive,satisfaction,in my experience setup was simple and the instructions were clear very convenient,13,0.07692307692307693,0.07692307692307693,0.0,0.9230769230769231,positive,neutral
42,Public-review-style practice data,"In my experience, excellent build quality and a very useful design.",positive,satisfaction,in my experience excellent build quality and a very useful design,11,0.18181818181818182,0.18181818181818182,0.0,0.8181818181818181,positive,neutral
43,Public-review-style practice data,"In my experience, this made my daily work much easier. i am impressed.",positive,gratitude,in my experience this made my daily work much easier i am impressed,13,0.0,0.0,-0.0,1.0,neutral,neutral
44,Public-review-style practice data,"In my experience, the support team solved my issue quickly. really appreciate the help.",positive,gratitude,in my experience the support team solved my issue quickly really appreciate the help,14,0.07142857142857142,0.07142857142857142,0.0,0.9285714285714286,positive,gratitude
45,Public-review-style practice data,"In my experience, i am thankful for how easy this was to use.",positive,gratitude,in my experience i am thankful for how easy this was to use,13,0.07692307692307693,0.07692307692307693,0.0,0.9230769230769231,positive,gratitude
46,Public-review-style practice data,"In my experience, the sound is fantastic and the battery lasts all day.",positive,excitement,in my experience the sound is fantastic and the battery lasts all day,13,0.07692307692307693,0.07692307692307693,0.0,0.9230769230769231,positive,joy
47,Public-review-style practice data,"In my experience, fast, responsive, and better than i expected.",positive,excitement,in my experience fast responsive and better than i expected,10,0.0,0.0,-0.0,1.0,neutral,neutral
48,Public-review-style practice data,"In my experience, the new features are exciting and genuinely useful.",positive,excitement,in my experience the new features are exciting and genuinely useful,11,0.18181818181818182,0.18181818181818182,0.0,0.8181818181818181,positive,excitement
49,Public-review-style practice data,"In my experience, very disappointed. the product stopped working after a few days.",negative,sadness,in my experience very disappointed the product stopped working after a few days,13,-0.07692307692307693,0.0,0.07692307692307693,0.9230769230769231,negative,sadness
50,Public-review-style practice data,"In my experience, the quality is poor and the item feels cheaply made.",negative,disappointment,in my experience the quality is poor and the item feels cheaply made,13,-0.15384615384615385,0.0,0.15384615384615385,0.8461538461538461,negative,neutral
51,Public-review-style practice data,"In my experience, i regret buying this product. it did not meet my expectations.",negative,disappointment,in my experience i regret buying this product it did not meet my expectations,14,-0.07142857142857142,0.0,0.07142857142857142,0.9285714285714286,negative,sadness
52,Public-review-style practice data,"In my experience, the app crashes frequently and makes the product frustrating to use.",negative,anger,in my experience the app crashes frequently and makes the product frustrating to use,14,-0.07142857142857142,0.0,0.07142857142857142,0.9285714285714286,negative,anger
53,Public-review-style practice data,"In my experience, customer support ignored my messages and i am extremely annoyed.",negative,anger,in my experience customer support ignored my messages and i am extremely annoyed,13,-0.15384615384615385,0.0,0.15384615384615385,0.8461538461538461,negative,anger
54,Public-review-style practice data,"In my experience, the repeated errors are frustrating and waste a lot of time.",negative,anger,in my experience the repeated errors are frustrating and waste a lot of time,14,-0.14285714285714285,0.0,0.14285714285714285,0.8571428571428572,negative,anger
55,Public-review-style practice data,"In my experience, delivery was late and the package arrived damaged.",negative,sadness,in my experience delivery was late and the package arrived damaged,11,-0.09090909090909091,0.0,0.09090909090909091,0.9090909090909091,negative,neutral
56,Public-review-style practice data,"In my experience, the product looks nothing like the description. very unhappy.",negative,sadness,in my experience the product looks nothing like the description very unhappy,12,-0.08333333333333333,0.0,0.08333333333333333,0.9166666666666666,negative,sadness
57,Public-review-style practice data,"In my experience, battery life is terrible and i expected much better performance.",negative,disappointment,in my experience battery life is terrible and i expected much better performance,13,-0.07692307692307693,0.0,0.07692307692307693,0.9230769230769231,negative,anger
58,Public-review-style practice data,"In my experience, this was a waste of money. i would not recommend it.",negative,anger,in my experience this was a waste of money i would not recommend it,14,-0.07142857142857142,0.0,0.07142857142857142,0.9285714285714286,negative,anger
59,Public-review-style practice data,"In my experience, the setup was confusing and the instructions were incomplete.",negative,confusion,in my experience the setup was confusing and the instructions were incomplete,12,-0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,negative,confusion
60,Public-review-style practice data,"In my experience, i cannot figure out why the feature keeps failing.",negative,confusion,in my experience i cannot figure out why the feature keeps failing,12,-0.08333333333333333,0.0,0.08333333333333333,0.9166666666666666,negative,neutral
61,Public-review-style practice data,"In my experience, the product arrived yesterday and i have used it twice so far.",neutral,neutral,in my experience the product arrived yesterday and i have used it twice so far,15,0.0,0.0,-0.0,1.0,neutral,neutral
62,Public-review-style practice data,"In my experience, it has the features listed on the product page.",neutral,neutral,in my experience it has the features listed on the product page,12,0.0,0.0,-0.0,1.0,neutral,neutral
63,Public-review-style practice data,"In my experience, the package contained the device, cable, and manual.",neutral,neutral,in my experience the package contained the device cable and manual,11,0.0,0.0,-0.0,1.0,neutral,neutral
64,Public-review-style practice data,"In my experience, the application includes a dashboard and notification settings.",neutral,neutral,in my experience the application includes a dashboard and notification settings,11,0.0,0.0,-0.0,1.0,neutral,neutral
65,Public-review-style practice data,"In my experience, i purchased this model in the standard version.",neutral,neutral,in my experience i purchased this model in the standard version,11,0.0,0.0,-0.0,1.0,neutral,neutral
66,Public-review-style practice data,"In my experience, the delivery took four days from the order date.",neutral,neutral,in my experience the delivery took four days from the order date,12,0.0,0.0,-0.0,1.0,neutral,neutral
67,Public-review-style practice data,"In my experience, the product is available in three sizes.",neutral,neutral,in my experience the product is available in three sizes,10,0.0,0.0,-0.0,1.0,neutral,neutral
68,Public-review-style practice data,"In my experience, the review is based on one week of regular use.",neutral,neutral,in my experience the review is based on one week of regular use,13,0.0,0.0,-0.0,1.0,neutral,neutral
69,Public-review-style practice data,"In my experience, the device connects through bluetooth and charges by usb.",neutral,neutral,in my experience the device connects through bluetooth and charges by usb,12,0.0,0.0,-0.0,1.0,neutral,neutral
70,Public-review-style practice data,"In my experience, the seller provides a one-year warranty.",neutral,neutral,in my experience the seller provides a one year warranty,10,0.0,0.0,-0.0,1.0,neutral,neutral
71,Public-review-style practice data,"In my experience, the interface has several settings that can be adjusted.",neutral,neutral,in my experience the interface has several settings that can be adjusted,12,0.0,0.0,-0.0,1.0,neutral,neutral
72,Public-review-style practice data,"In my experience, the box arrived sealed and included the listed accessories.",neutral,neutral,in my experience the box arrived sealed and included the listed accessories,12,0.0,0.0,-0.0,1.0,neutral,neutral
73,Public-review-style practice data,"For me, absolutely loved this product. the quality is excellent and it works perfectly.",positive,joy,for me absolutely loved this product the quality is excellent and it works perfectly,14,0.14285714285714285,0.14285714285714285,0.0,0.8571428571428572,positive,joy
74,Public-review-style practice data,"For me, the delivery was quick and the product feels premium. very happy with it.",positive,joy,for me the delivery was quick and the product feels premium very happy with it,15,0.13333333333333333,0.13333333333333333,0.0,0.8666666666666667,positive,joy
75,Public-review-style practice data,"For me, amazing value for the price. i would happily buy it again.",positive,satisfaction,for me amazing value for the price i would happily buy it again,13,0.07692307692307693,0.07692307692307693,0.0,0.9230769230769231,positive,joy
76,Public-review-style practice data,"For me, the performance is smooth and reliable. great purchase overall.",positive,satisfaction,for me the performance is smooth and reliable great purchase overall,11,0.2727272727272727,0.2727272727272727,0.0,0.7272727272727273,positive,neutral
77,Public-review-style practice data,"For me, setup was simple and the instructions were clear. very convenient.",positive,satisfaction,for me setup was simple and the instructions were clear very convenient,12,0.08333333333333333,0.08333333333333333,0.0,0.9166666666666666,positive,neutral
78,Public-review-style practice data,"For me, excellent build quality and a very useful design.",positive,satisfaction,for me excellent build quality and a very useful design,10,0.2,0.2,0.0,0.8,positive,neutral
79,Public-review-style practice data,"For me, this made my daily work much easier. i am impressed.",positive,gratitude,for me this made my daily work much easier i am impressed,12,0.0,0.0,-0.0,1.0,neutral,neutral
80,Public-review-style practice data,"For me, the support team solved my issue quickly. really appreciate the help.",positive,gratitude,for me the support team solved my issue quickly really appreciate the help,13,0.07692307692307693,0.07692307692307693,0.0,0.9230769230769231,positive,gratitude
81,Public-review-style practice data,"For me, i am thankful for how easy this was to use.",positive,gratitude,for me i am thankful for how easy this was to use,12,0.08333333333333333,0.08333333333333333,0.0,0.9166666666666666,positive,gratitude
82,Public-review-style practice data,"For me, the sound is fantastic and the battery lasts all day.",positive,excitement,for me the sound is fantastic and the battery lasts all day,12,0.08333333333333333,0.08333333333333333,0.0,0.9166666666666666,positive,joy
83,Public-review-style practice data,"For me, fast, responsive, and better than i expected.",positive,excitement,for me fast responsive and better than i expected,9,0.0,0.0,-0.0,1.0,neutral,neutral
84,Public-review-style practice data,"For me, the new features are exciting and genuinely useful.",positive,excitement,for me the new features are exciting and genuinely useful,10,0.2,0.2,0.0,0.8,positive,excitement
85,Public-review-style practice data,"For me, very disappointed. the product stopped working after a few days.",negative,sadness,for me very disappointed the product stopped working after a few days,12,-0.08333333333333333,0.0,0.08333333333333333,0.9166666666666666,negative,sadness
86,Public-review-style practice data,"For me, the quality is poor and the item feels cheaply made.",negative,disappointment,for me the quality is poor and the item feels cheaply made,12,-0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,negative,neutral
87,Public-review-style practice data,"For me, i regret buying this product. it did not meet my expectations.",negative,disappointment,for me i regret buying this product it did not meet my expectations,13,-0.07692307692307693,0.0,0.07692307692307693,0.9230769230769231,negative,sadness
88,Public-review-style practice data,"For me, the app crashes frequently and makes the product frustrating to use.",negative,anger,for me the app crashes frequently and makes the product frustrating to use,13,-0.07692307692307693,0.0,0.07692307692307693,0.9230769230769231,negative,anger
89,Public-review-style practice data,"For me, customer support ignored my messages and i am extremely annoyed.",negative,anger,for me customer support ignored my messages and i am extremely annoyed,12,-0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,negative,anger
90,Public-review-style practice data,"For me, the repeated errors are frustrating and waste a lot of time.",negative,anger,for me the repeated errors are frustrating and waste a lot of time,13,-0.15384615384615385,0.0,0.15384615384615385,0.8461538461538461,negative,anger
91,Public-review-style practice data,"For me, delivery was late and the package arrived damaged.",negative,sadness,for me delivery was late and the package arrived damaged,10,-0.1,0.0,0.1,0.9,negative,neutral
92,Public-review-style practice data,"For me, the product looks nothing like the description. very unhappy.",negative,sadness,for me the product looks nothing like the description very unhappy,11,-0.09090909090909091,0.0,0.09090909090909091,0.9090909090909091,negative,sadness
93,Public-review-style practice data,"For me, battery life is terrible and i expected much better performance.",negative,disappointment,for me battery life is terrible and i expected much better performance,12,-0.08333333333333333,0.0,0.08333333333333333,0.9166666666666666,negative,anger
94,Public-review-style practice data,"For me, this was a waste of money. i would not recommend it.",negative,anger,for me this was a waste of money i would not recommend it,13,-0.07692307692307693,0.0,0.07692307692307693,0.9230769230769231,negative,anger
95,Public-review-style practice data,"For me, the setup was confusing and the instructions were incomplete.",negative,confusion,for me the setup was confusing and the instructions were incomplete,11,-0.18181818181818182,0.0,0.18181818181818182,0.8181818181818181,negative,confusion
96,Public-review-style practice data,"For me, i cannot figure out why the feature keeps failing.",negative,confusion,for me i cannot figure out why the feature keeps failing,11,-0.09090909090909091,0.0,0.09090909090909091,0.9090909090909091,negative,neutral
97,Public-review-style practice data,"For me, the product arrived yesterday and i have used it twice so far.",neutral,neutral,for me the product arrived yesterday and i have used it twice so far,14,0.0,0.0,-0.0,1.0,neutral,neutral
98,Public-review-style practice data,"For me, it has the features listed on the product page.",neutral,neutral,for me it has the features listed on the product page,11,0.0,0.0,-0.0,1.0,neutral,neutral
99,Public-review-style practice data,"For me, the package contained the device, cable, and manual.",neutral,neutral,for me the package contained the device cable and manual,10,0.0,0.0,-0.0,1.0,neutral,neutral
100,Public-review-style practice data,"For me, the application includes a dashboard and notification settings.",neutral,neutral,for me the application includes a dashboard and notification settings,10,0.0,0.0,-0.0,1.0,neutral,neutral
101,Public-review-style practice data,"For me, i purchased this model in the standard version.",neutral,neutral,for me i purchased this model in the standard version,10,0.0,0.0,-0.0,1.0,neutral,neutral
102,Public-review-style practice data,"For me, the delivery took four days from the order date.",neutral,neutral,for me the delivery took four days from the order date,11,0.0,0.0,-0.0,1.0,neutral,neutral
103,Public-review-style practice data,"For me, the product is available in three sizes.",neutral,neutral,for me the product is available in three sizes,9,0.0,0.0,-0.0,1.0,neutral,neutral
104,Public-review-style practice data,"For me, the review is based on one week of regular use.",neutral,neutral,for me the review is based on one week of regular use,12,0.0,0.0,-0.0,1.0,neutral,neutral
105,Public-review-style practice data,"For me, the device connects through bluetooth and charges by usb.",neutral,neutral,for me the device connects through bluetooth and charges by usb,11,0.0,0.0,-0.0,1.0,neutral,neutral
106,Public-review-style practice data,"For me, the seller provides a one-year warranty.",neutral,neutral,for me the seller provides a one year warranty,9,0.0,0.0,-0.0,1.0,neutral,neutral
107,Public-review-style practice data,"For me, the interface has several settings that can be adjusted.",neutral,neutral,for me the interface has several settings that can be adjusted,11,0.0,0.0,-0.0,1.0,neutral,neutral
108,Public-review-style practice data,"For me, the box arrived sealed and included the listed accessories.",neutral,neutral,for me the box arrived sealed and included the listed accessories,11,0.0,0.0,-0.0,1.0,neutral,neutral
109,Public-review-style practice data,"After using it, absolutely loved this product. the quality is excellent and it works perfectly.",positive,joy,after using it absolutely loved this product the quality is excellent and it works perfectly,15,0.13333333333333333,0.13333333333333333,0.0,0.8666666666666667,positive,joy
110,Public-review-style practice data,"After using it, the delivery was quick and the product feels premium. very happy with it.",positive,joy,after using it the delivery was quick and the product feels premium very happy with it,16,0.125,0.125,0.0,0.875,positive,joy
111,Public-review-style practice data,"After using it, amazing value for the price. i would happily buy it again.",positive,satisfaction,after using it amazing value for the price i would happily buy it again,14,0.07142857142857142,0.07142857142857142,0.0,0.9285714285714286,positive,joy
112,Public-review-style practice data,"After using it, the performance is smooth and reliable. great purchase overall.",positive,satisfaction,after using it the performance is smooth and reliable great purchase overall,12,0.25,0.25,0.0,0.75,positive,neutral
113,Public-review-style practice data,"After using it, setup was simple and the instructions were clear. very convenient.",positive,satisfaction,after using it setup was simple and the instructions were clear very convenient,13,0.07692307692307693,0.07692307692307693,0.0,0.9230769230769231,positive,neutral
114,Public-review-style practice data,"After using it, excellent build quality and a very useful design.",positive,satisfaction,after using it excellent build quality and a very useful design,11,0.18181818181818182,0.18181818181818182,0.0,0.8181818181818181,positive,neutral
115,Public-review-style practice data,"After using it, this made my daily work much easier. i am impressed.",positive,gratitude,after using it this made my daily work much easier i am impressed,13,0.0,0.0,-0.0,1.0,neutral,neutral
116,Public-review-style practice data,"After using it, the support team solved my issue quickly. really appreciate the help.",positive,gratitude,after using it the support team solved my issue quickly really appreciate the help,14,0.07142857142857142,0.07142857142857142,0.0,0.9285714285714286,positive,gratitude
117,Public-review-style practice data,"After using it, i am thankful for how easy this was to use.",positive,gratitude,after using it i am thankful for how easy this was to use,13,0.07692307692307693,0.07692307692307693,0.0,0.9230769230769231,positive,gratitude
118,Public-review-style practice data,"After using it, the sound is fantastic and the battery lasts all day.",positive,excitement,after using it the sound is fantastic and the battery lasts all day,13,0.07692307692307693,0.07692307692307693,0.0,0.9230769230769231,positive,joy
119,Public-review-style practice data,"After using it, fast, responsive, and better than i expected.",positive,excitement,after using it fast responsive and better than i expected,10,0.0,0.0,-0.0,1.0,neutral,neutral
120,Public-review-style practice data,"After using it, the new features are exciting and genuinely useful.",positive,excitement,after using it the new features are exciting and genuinely useful,11,0.18181818181818182,0.18181818181818182,0.0,0.8181818181818181,positive,excitement
121,Public-review-style practice data,"After using it, very disappointed. the product stopped working after a few days.",negative,sadness,after using it very disappointed the product stopped working after a few days,13,-0.07692307692307693,0.0,0.07692307692307693,0.9230769230769231,negative,sadness
122,Public-review-style practice data,"After using it, the quality is poor and the item feels cheaply made.",negative,disappointment,after using it the quality is poor and the item feels cheaply made,13,-0.15384615384615385,0.0,0.15384615384615385,0.8461538461538461,negative,neutral
123,Public-review-style practice data,"After using it, i regret buying this product. it did not meet my expectations.",negative,disappointment,after using it i regret buying this product it did not meet my expectations,14,-0.07142857142857142,0.0,0.07142857142857142,0.9285714285714286,negative,sadness
124,Public-review-style practice data,"After using it, the app crashes frequently and makes the product frustrating to use.",negative,anger,after using it the app crashes frequently and makes the product frustrating to use,14,-0.07142857142857142,0.0,0.07142857142857142,0.9285714285714286,negative,anger
125,Public-review-style practice data,"After using it, customer support ignored my messages and i am extremely annoyed.",negative,anger,after using it customer support ignored my messages and i am extremely annoyed,13,-0.15384615384615385,0.0,0.15384615384615385,0.8461538461538461,negative,anger
126,Public-review-style practice data,"After using it, the repeated errors are frustrating and waste a lot of time.",negative,anger,after using it the repeated errors are frustrating and waste a lot of time,14,-0.14285714285714285,0.0,0.14285714285714285,0.8571428571428572,negative,anger
127,Public-review-style practice data,"After using it, delivery was late and the package arrived damaged.",negative,sadness,after using it delivery was late and the package arrived damaged,11,-0.09090909090909091,0.0,0.09090909090909091,0.9090909090909091,negative,neutral
128,Public-review-style practice data,"After using it, the product looks nothing like the description. very unhappy.",negative,sadness,after using it the product looks nothing like the description very unhappy,12,-0.08333333333333333,0.0,0.08333333333333333,0.9166666666666666,negative,sadness
129,Public-review-style practice data,"After using it, battery life is terrible and i expected much better performance.",negative,disappointment,after using it battery life is terrible and i expected much better performance,13,-0.07692307692307693,0.0,0.07692307692307693,0.9230769230769231,negative,anger
130,Public-review-style practice data,"After using it, this was a waste of money. i would not recommend it.",negative,anger,after using it this was a waste of money i would not recommend it,14,-0.07142857142857142,0.0,0.07142857142857142,0.9285714285714286,negative,anger
131,Public-review-style practice data,"After using it, the setup was confusing and the instructions were incomplete.",negative,confusion,after using it the setup was confusing and the instructions were incomplete,12,-0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,negative,confusion
132,Public-review-style practice data,"After using it, i cannot figure out why the feature keeps failing.",negative,confusion,after using it i cannot figure out why the feature keeps failing,12,-0.08333333333333333,0.0,0.08333333333333333,0.9166666666666666,negative,neutral
133,Public-review-style practice data,"After using it, the product arrived yesterday and i have used it twice so far.",neutral,neutral,after using it the product arrived yesterday and i have used it twice so far,15,0.0,0.0,-0.0,1.0,neutral,neutral
134,Public-review-style practice data,"After using it, it has the features listed on the product page.",neutral,neutral,after using it it has the features listed on the product page,12,0.0,0.0,-0.0,1.0,neutral,neutral
135,Public-review-style practice data,"After using it, the package contained the device, cable, and manual.",neutral,neutral,after using it the package contained the device cable and manual,11,0.0,0.0,-0.0,1.0,neutral,neutral
136,Public-review-style practice data,"After using it, the application includes a dashboard and notification settings.",neutral,neutral,after using it the application includes a dashboard and notification settings,11,0.0,0.0,-0.0,1.0,neutral,neutral
137,Public-review-style practice data,"After using it, i purchased this model in the standard version.",neutral,neutral,after using it i purchased this model in the standard version,11,0.0,0.0,-0.0,1.0,neutral,neutral
138,Public-review-style practice data,"After using it, the delivery took four days from the order date.",neutral,neutral,after using it the delivery took four days from the order date,12,0.0,0.0,-0.0,1.0,neutral,neutral
139,Public-review-style practice data,"After using it, the product is available in three sizes.",neutral,neutral,after using it the product is available in three sizes,10,0.0,0.0,-0.0,1.0,neutral,neutral
140,Public-review-style practice data,"After using it, the review is based on one week of regular use.",neutral,neutral,after using it the review is based on one week of regular use,13,0.0,0.0,-0.0,1.0,neutral,neutral
141,Public-review-style practice data,"After using it, the device connects through bluetooth and charges by usb.",neutral,neutral,after using it the device connects through bluetooth and charges by usb,12,0.0,0.0,-0.0,1.0,neutral,neutral
142,Public-review-style practice data,"After using it, the seller provides a one-year warranty.",neutral,neutral,after using it the seller provides a one year warranty,10,0.0,0.0,-0.0,1.0,neutral,neutral
143,Public-review-style practice data,"After using it, the interface has several settings that can be adjusted.",neutral,neutral,after using it the interface has several settings that can be adjusted,12,0.0,0.0,-0.0,1.0,neutral,neutral
144,Public-review-style practice data,"After using it, the box arrived sealed and included the listed accessories.",neutral,neutral,after using it the box arrived sealed and included the listed accessories,12,0.0,0.0,-0.0,1.0,neutral,neutral
