review_id,source,text,sentiment,emotion
72,Public-review-style practice data,"In my experience, the box arrived sealed and included the listed accessories.",neutral,neutral
73,Public-review-style practice data,"For me, absolutely loved this product. the quality is excellent and it works perfectly.",positive,joy
74,Public-review-style practice data,"For me, the delivery was quick and the product feels premium. very happy with it.",positive,joy
75,Public-review-style practice data,"For me, amazing value for the price. i would happily buy it again.",positive,satisfaction
76,Public-review-style practice data,"For me, the performance is smooth and reliable. great purchase overall.",positive,satisfaction
77,Public-review-style practice data,"For me, setup was simple and the instructions were clear. very convenient.",positive,satisfaction
78,Public-review-style practice data,"For me, excellent build quality and a very useful design.",positive,satisfaction
79,Public-review-style practice data,"For me, this made my daily work much easier. i am impressed.",positive,gratitude
80,Public-review-style practice data,"For me, the support team solved my issue quickly. really appreciate the help.",positive,gratitude
81,Public-review-style practice data,"For me, i am thankful for how easy this was to use.",positive,gratitude
82,Public-review-style practice data,"For me, the sound is fantastic and the battery lasts all day.",positive,excitement
83,Public-review-style practice data,"For me, fast, responsive, and better than i expected.",positive,excitement
84,Public-review-style practice data,"For me, the new features are exciting and genuinely useful.",positive,excitement
85,Public-review-style practice data,"For me, very disappointed. the product stopped working after a few days.",negative,sadness
86,Public-review-style practice data,"For me, the quality is poor and the item feels cheaply made.",negative,disappointment
87,Public-review-style practice data,"For me, i regret buying this product. it did not meet my expectations.",negative,disappointment
88,Public-review-style practice data,"For me, the app crashes frequently and makes the product frustrating to use.",negative,anger
89,Public-review-style practice data,"For me, customer support ignored my messages and i am extremely annoyed.",negative,anger
90,Public-review-style practice data,"For me, the repeated errors are frustrating and waste a lot of time.",negative,anger
91,Public-review-style practice data,"For me, delivery was late and the package arrived damaged.",negative,sadness
92,Public-review-style practice data,"For me, the product looks nothing like the description. very unhappy.",negative,sadness
93,Public-review-style practice data,"For me, battery life is terrible and i expected much better performance.",negative,disappointment
94,Public-review-style practice data,"For me, this was a waste of money. i would not recommend it.",negative,anger
95,Public-review-style practice data,"For me, the setup was confusing and the instructions were incomplete.",negative,confusion
96,Public-review-style practice data,"For me, i cannot figure out why the feature keeps failing.",negative,confusion
97,Public-review-style practice data,"For me, the product arrived yesterday and i have used it twice so far.",neutral,neutral
98,Public-review-style practice data,"For me, it has the features listed on the product page.",neutral,neutral
99,Public-review-style practice data,"For me, the package contained the device, cable, and manual.",neutral,neutral
100,Public-review-style practice data,"For me, the application includes a dashboard and notification settings.",neutral,neutral
101,Public-review-style practice data,"For me, i purchased this model in the standard version.",neutral,neutral
102,Public-review-style practice data,"For me, the delivery took four days from the order date.",neutral,neutral
103,Public-review-style practice data,"For me, the product is available in three sizes.",neutral,neutral
104,Public-review-style practice data,"For me, the review is based on one week of regular use.",neutral,neutral
105,Public-review-style practice data,"For me, the device connects through bluetooth and charges by usb.",neutral,neutral
106,Public-review-style practice data,"For me, the seller provides a one-year warranty.",neutral,neutral
107,Public-review-style practice data,"For me, the interface has several settings that can be adjusted.",neutral,neutral
108,Public-review-style practice data,"For me, the box arrived sealed and included the listed accessories.",neutral,neutral
109,Public-review-style practice data,"After using it, absolutely loved this product. the quality is excellent and it works perfectly.",positive,joy
110,Public-review-style practice data,"After using it, the delivery was quick and the product feels premium. very happy with it.",positive,joy
111,Public-review-style practice data,"After using it, amazing value for the price. i would happily buy it again.",positive,satisfaction
112,Public-review-style practice data,"After using it, the performance is smooth and reliable. great purchase overall.",positive,satisfaction
113,Public-review-style practice data,"After using it, setup was simple and the instructions were clear. very convenient.",positive,satisfaction
114,Public-review-style practice data,"After using it, excellent build quality and a very useful design.",positive,satisfaction
115,Public-review-style practice data,"After using it, this made my daily work much easier. i am impressed.",positive,gratitude
116,Public-review-style practice data,"After using it, the support team solved my issue quickly. really appreciate the help.",positive,gratitude
117,Public-review-style practice data,"After using it, i am thankful for how easy this was to use.",positive,gratitude
118,Public-review-style practice data,"After using it, the sound is fantastic and the battery lasts all day.",positive,excitement
119,Public-review-style practice data,"After using it, fast, responsive, and better than i expected.",positive,excitement
120,Public-review-style practice data,"After using it, the new features are exciting and genuinely useful.",positive,excitement
121,Public-review-style practice data,"After using it, very disappointed. the product stopped working after a few days.",negative,sadness
122,Public-review-style practice data,"After using it, the quality is poor and the item feels cheaply made.",negative,disappointment
123,Public-review-style practice data,"After using it, i regret buying this product. it did not meet my expectations.",negative,disappointment
124,Public-review-style practice data,"After using it, the app crashes frequently and makes the product frustrating to use.",negative,anger
125,Public-review-style practice data,"After using it, customer support ignored my messages and i am extremely annoyed.",negative,anger
126,Public-review-style practice data,"After using it, the repeated errors are frustrating and waste a lot of time.",negative,anger
127,Public-review-style practice data,"After using it, delivery was late and the package arrived damaged.",negative,sadness
128,Public-review-style practice data,"After using it, the product looks nothing like the description. very unhappy.",negative,sadness
129,Public-review-style practice data,"After using it, battery life is terrible and i expected much better performance.",negative,disappointment
130,Public-review-style practice data,"After using it, this was a waste of money. i would not recommend it.",negative,anger
131,Public-review-style practice data,"After using it, the setup was confusing and the instructions were incomplete.",negative,confusion
132,Public-review-style practice data,"After using it, i cannot figure out why the feature keeps failing.",negative,confusion
133,Public-review-style practice data,"After using it, the product arrived yesterday and i have used it twice so far.",neutral,neutral
134,Public-review-style practice data,"After using it, it has the features listed on the product page.",neutral,neutral
135,Public-review-style practice data,"After using it, the package contained the device, cable, and manual.",neutral,neutral
136,Public-review-style practice data,"After using it, the application includes a dashboard and notification settings.",neutral,neutral
137,Public-review-style practice data,"After using it, i purchased this model in the standard version.",neutral,neutral
138,Public-review-style practice data,"After using it, the delivery took four days from the order date.",neutral,neutral
139,Public-review-style practice data,"After using it, the product is available in three sizes.",neutral,neutral
140,Public-review-style practice data,"After using it, the review is based on one week of regular use.",neutral,neutral
141,Public-review-style practice data,"After using it, the device connects through bluetooth and charges by usb.",neutral,neutral
142,Public-review-style practice data,"After using it, the seller provides a one-year warranty.",neutral,neutral
143,Public-review-style practice data,"After using it, the interface has several settings that can be adjusted.",neutral,neutral
144,Public-review-style practice data,"After using it, the box arrived sealed and included the listed accessories.",neutral,neutral
